City.Code,City,Metro,County,State,Population.Rank,January.2017
44506,Cedar Rapids,Cedar Rapids,Linn,IA,326,1056
39134,Jacksonville,Jacksonville,Onslow,NC,327,848
53588,Norcross,Atlanta,Gwinnett,GA,328,1216
27942,Wichita Falls,Wichita Falls,Wichita,TX,329,852
45548,Green Bay,Green Bay,Brown,WI,330,906
18053,Fairfield,Vallejo,Solano,CA,331,2089
32629,Madera,Madera,Madera,CA,332,1189
13699,San Mateo,San Francisco,San Mateo,CA,333,3811
25855,Merced,Merced,Merced,CA,334,1144
31163,Daly City,San Francisco,San Mateo,CA,335,3490
13256,Perris,Riverside,Riverside,CA,336,1635
32542,Livonia,Detroit,Wayne,MI,337,1343
13698,San Leandro,San Francisco,Alameda,CA,338,2710
24336,Dearborn,Detroit,Wayne,MI,339,1135
47762,South Gate,Los Angeles,Los Angeles,CA,340,2171
13709,Sandy Springs,Atlanta,Fulton,GA,341,2516
399214,Town of Greece,Rochester,Monroe,NY,342,1339
37074,Albany,Albany,Albany,NY,343,1396
54121,Richardson,Dallas-Fort Worth,Dallas,TX,344,1851
53978,Portsmouth,Virginia Beach,Portsmouth City,VA,345,1167
12438,Longview,Longview,Gregg,TX,346,1181
35593,Laurel,Washington,Prince Georges,MD,347,2006
6334,Orange Park,Jacksonville,Clay,FL,348,1230
7680,Vero Beach,Vero Beach,Indian River,FL,349,1443
27219,Spring Hill,Tampa,Hernando,FL,350,1148
51757,Duluth,Atlanta,Gwinnett,GA,351,1441
11049,Davie,Miami-Fort Lauderdale,Broward,FL,352,1953
41629,West Chester,Philadelphia,Chester,PA,353,2222
10917,Columbia,Baltimore,Howard,MD,354,2159
40013,Newton,Boston,Middlesex,MA,355,3010
44328,Brockton,Boston,Plymouth,MA,356,1724
16701,Albany,Albany,Dougherty,GA,357,777
25483,Lakeland,Lakeland,Polk,FL,358,1121
32452,Lawrence,Lawrence,Douglas,KS,359,1305
5595,Lehigh Acres,Fort Myers,Lee,FL,360,1198
6112,Napa,Napa,Napa,CA,361,2548
12773,Mission Viejo,Los Angeles,Orange,CA,362,3032
13715,Santa Cruz,Santa Cruz,Santa Cruz,CA,363,3114
395471,Lakewood Township,New York,Ocean,NJ,364,1843
16780,Antioch,San Francisco,Contra Costa,CA,365,2139
44515,Centennial,Denver,Arapahoe,CO,366,2227
6790,Riverview,Tampa,Hillsborough,FL,367,1402
39220,Kenosha,Chicago,Kenosha,WI,368,1211
20555,South Bend,South Bend,Saint Joseph,IN,369,702
10181,Arvada,Denver,Jefferson,CO,370,1983
46183,Lawton,Lawton,Comanche,OK,371,694
16773,Annapolis,Baltimore,Anne Arundel,MD,372,2179
37933,Clinton Township,Detroit,Macomb,MI,373,1206
33645,Rialto,Riverside,San Bernardino,CA,374,1699
45878,Indio,Riverside,Riverside,CA,375,1847
38992,Highlands Ranch,Denver,Douglas,CO,376,2384
33058,New Bedford,Providence,Bristol,MA,377,1305
45255,Federal Way,Seattle,King,WA,378,1884
11914,Hillsboro,Portland,Washington,OR,379,1729
6932,Sandy,Salt Lake City,Salt Lake,UT,380,1641
4042,Champaign,Champaign-Urbana,Champaign,IL,381,1106
397569,Bethlehem Township,Allentown,Northampton,PA,382,1719
11695,Greeley,Greeley,Weld,CO,383,1427
10700,Canton,Detroit,Wayne,MI,384,1693
17943,Elgin,Chicago,Kane,IL,385,1556
46508,Meridian,Boise City,Ada,ID,386,1364
26964,Santa Monica,Los Angeles,Los Angeles,CA,387,4560
52747,Kennewick,Kennewick,Benton,WA,388,1413
41802,Yakima,Yakima,Yakima,WA,389,1144
12886,Muncie,Muncie,Delaware,IN,390,752
54902,Valdosta,Valdosta,Lowndes,GA,391,902
33450,Plantation,Miami-Fort Lauderdale,Broward,FL,392,1862
39452,Lithonia,Atlanta,Dekalb,GA,393,1048
397180,Kalamazoo,Kalamazoo,Kalamazoo,MI,394,933
44571,Cheyenne,Cheyenne,Laramie,WY,395,1323
46348,Lynchburg,Lynchburg,Lynchburg City,VA,396,982
32777,McDonough,Atlanta,Henry,GA,397,1263
20776,Terre Haute,Terre Haute,Vigo,IN,398,730
32540,Livermore,San Francisco,Alameda,CA,399,2990
23862,Bryan,College Station,Brazos,TX,400,1306
45127,Elkhart,Elkhart,Elkhart,IN,401,914
54294,San Angelo,San Angelo,Tom Green,TX,402,1179
24339,Decatur,Decatur,Macon,IL,403,828
51758,Duluth,Duluth,Saint Louis,MN,404,1247
54628,Sunrise,Miami-Fort Lauderdale,Broward,FL,405,1645
26319,Orem,Provo,Utah,UT,406,1338
3404,Anderson,Greenville,Anderson,SC,407,948
5924,Miami Beach,Miami-Fort Lauderdale,Miami-Dade,FL,408,2224
31525,Fall River,Providence,Bristol,MA,409,1398
17551,Concord,Charlotte,Cabarrus,NC,410,1240
31567,Flagstaff,Flagstaff,Coconino,AZ,411,1806
23444,Allen,Dallas-Fort Worth,Collin,TX,412,1932
45339,Franklin,Nashville,Williamson,TN,413,2491
38968,Herndon,Washington,Fairfax,VA,414,2409
53311,Midlothian,Richmond,Chesterfield,VA,415,1720
34311,Toms River,New York,Ocean,NJ,416,1862
41279,Trenton,Trenton,Mercer,NJ,417,1278
13234,Pearland,Houston,Brazoria,TX,418,1893
10451,Bloomington,Minneapolis-St Paul,Hennepin,MN,419,1608
33031,Nashua,Manchester,Hillsborough,NH,420,1769
38328,Edmond,Oklahoma City,Oklahoma,OK,421,1469
17386,Chapel Hill,Durham,Orange,NC,422,1859
41715,Williamsburg,Virginia Beach,James City,VA,423,1752
6696,Reading,Reading,Berks,PA,424,753
44597,Cicero,Chicago,Cook,IL,425,1391
397329,Holland,Grand Rapids,Ottawa,MI,426,1218
7883,Westland,Detroit,Wayne,MI,427,1103
54428,Sioux City,Sioux City,Woodbury,IA,428,951
30552,Bowie,Washington,Prince Georges,MD,429,2133
32287,Kennesaw,Atlanta,Cobb,GA,430,1441
30543,Boulder,Boulder,Boulder,CO,431,2515
24120,Clifton,New York,Passaic,NJ,432,1774
26222,Norwalk,Stamford,Fairfield,CT,433,2373
51414,Citrus Heights,Sacramento,Sacramento,CA,434,1531
10608,Buena Park,Los Angeles,Orange,CA,435,2516
398360,Town of Poughkeepsie,New York,Dutchess,NY,436,1735
45401,Gary,Chicago,Lake,IN,437,757
50741,Apopka,Orlando,Orange,FL,438,1402
7476,Troy,Detroit,Oakland,MI,439,1958
31732,Germantown,Washington,Montgomery,MD,440,1804
26751,Richmond,San Francisco,Contra Costa,CA,441,2380
42150,Hawthorne,Los Angeles,Los Angeles,CA,442,2505
737787,San Tan Valley,Phoenix,Pinal,AZ,443,1095
52696,Johnson City,Johnson City,Washington,TN,444,995
44583,Chino,Riverside,San Bernardino,CA,445,2142
53812,Parma,Cleveland,Cuyahoga,OH,446,1089
31892,Gulfport,Gulfport,Harrison,MS,447,922
41109,Suffolk,Virginia Beach,Suffolk City,VA,448,1465
53100,Macomb Township,Detroit,Macomb,MI,449,1800
17453,Spokane Valley,Spokane,Spokane,WA,450,1198
32489,Lexington,Columbia,Lexington,SC,451,1238
45243,Farmington Hills,Detroit,Oakland,MI,452,1888
46863,Ogden,Ogden,Weber,UT,453,1002
50677,Alhambra,Los Angeles,Los Angeles,CA,454,2437
32471,Leesburg,Washington,Loudoun,VA,455,2346
5399,Kent,Seattle,King,WA,456,1943
16425,Acworth,Atlanta,Cobb,GA,457,1392
46325,Loveland,Fort Collins,Larimer,CO,458,1679
41059,Sterling,Washington,Loudoun,VA,459,2117
44641,Cleveland,Cleveland,Bradley,TN,460,939
11140,Douglasville,Atlanta,Douglas,GA,461,1135
20128,Redwood City,San Francisco,San Mateo,CA,462,4008
6665,Quincy,Boston,Norfolk,MA,463,2299
31166,Danbury,Stamford,Fairfield,CT,464,1906
396020,Arden-Arcade,Sacramento,Sacramento,CA,465,1597
33334,Parker,Denver,Douglas,CO,466,2402
25066,Hattiesburg,Hattiesburg,Forrest,MS,467,1129
54897,Utica,Detroit,Macomb,MI,468,1266
45449,Glen Burnie,Baltimore,Anne Arundel,MD,469,1745
39398,Lees Summit,Kansas City,Jackson,MO,470,1464
38130,Dalton,Dalton,Whitfield,GA,471,994
48573,Woodstock,Atlanta,Cherokee,GA,472,1454
16818,Ashburn,Washington,Loudoun,VA,473,2476
39133,Jackson,Jackson,Madison,TN,474,911
7784,Watsonville,Santa Cruz,Santa Cruz,CA,475,2559
40574,Rio Rancho,Albuquerque,Sandoval,NM,476,1200
33287,Owensboro,Owensboro,Daviess,KY,477,911
54219,Roswell,Atlanta,Fulton,GA,478,2092
12292,Lakewood,Los Angeles,Los Angeles,CA,479,2447
32563,Longmont,Boulder,Boulder,CO,480,1882
53569,Newnan,Atlanta,Coweta,GA,481,1340
5891,Medford,Medford,Jackson,OR,482,1389
38583,Fort Smith,Fort Smith,Sebastian,AR,483,853
31093,Cranston,Providence,Providence,RI,484,1630
10676,Camden,Philadelphia,Camden,NJ,485,1400
19307,Melbourne,Melbourne,Brevard,FL,486,1245
25193,Houma,Houma,Terrebonne,LA,487,1077
27491,Tustin,Los Angeles,Orange,CA,488,2928
17191,Brooklyn Park,Minneapolis-St Paul,Hennepin,MN,489,1535
23742,Bloomington,Bloomington,McLean,IL,490,1255
34637,Walnut Creek,San Francisco,Contra Costa,CA,491,3272
51534,Conyers,Atlanta,Rockdale,GA,492,1069
